id,name,country,city,sphere,type,year_creation,number_employees,url
278,Rovio Entertainment,Эспоо,Финляндия,Индустрия компьютерных игр,2,1970,4080,rovio.com (англ.)
279,Runic Games,США),Вашингтон,Индустрия компьютерных игр,2,2008,913,runicgames.com
280,"Running with Scissors, Inc.",США,Тусон,Индустрия компьютерных игр,2,1996,717,www.runningwithscissors.com
281,Rusty Lake,Амстердам,Амстердам,Индустрия компьютерных игр,2,2015,2025,rustylake.com
282,Sand Grain Studios,Румыния,Румыния,Индустрия компьютерных игр,2,2002,4736,sandgrainstudios.com
283,Sandlot Games,США,Сиэтл,Индустрия компьютерных игр,2,1998,4600,www.sandlotgames.com
284,Santa Monica Studio,США,Плайя,Индустрия компьютерных игр,3,1999,4274,sms.playstation.com
285,Sanzaru Games,США,Сити,Индустрия компьютерных игр,3,2007,2387,sanzaru.com
286,SCS Software,Чехия,Прага,Индустрия компьютерных игр,2,1997,1932,scssoft.com
287,Sega,Япония,Синагава,Индустрия компьютерных игр,2,1961,3315,Sega of AmericaSega of JapanSega of Europe
288,Sega AM1,Япония,Япония,Индустрия компьютерных игр,2,2003,2453,segawow.com
289,Sega AM2,Токио,Ота,Индустрия компьютерных игр,3,1980,113,Официальный сайт
290,Sega Sports Japan,Япония,Ота,Индустрия компьютерных игр,3,1994,3421,sega.com
291,Shiny Entertainment,США,Лагуна-Бич,Индустрия компьютерных игр,2,1993,1809,shiny.com
292,SIE Japan Studio,Акасака,Япония,Индустрия компьютерных игр,3,1993,666,playstation.com/ja-jp/co…
293,Sierra Entertainment,90232-6712,Blvd,Индустрия компьютерных игр,3,1980,2646,sierragames.com
294,Silicon Knights,Канада,Сент-Катаринс,Индустрия компьютерных игр,2,1992,4857,SiliconKnights.com (Internet Archive)
295,"SIMS Co., Ltd.",Сибуя,Токио,Индустрия компьютерных игр,2,1991,2143,sims.co.jp
296,Sir-Tech Software,США,Огденсберг,Индустрия компьютерных игр,2,1979,3418,sir-tech.com
297,Skybound Entertainment,США,Беверли-Хиллз,Разработка программного обеспечения,2,2010,835,skybound.com
298,Sledgehammer Games,Канада,Торонто,Индустрия компьютерных игр,3,1968,2171,sledgehammergames.com
299,Slightly Mad Studios,Великобритания,Лондон,Индустрия компьютерных игр,3,2009,1454,slightlymadstudios.com
300,Snail,Сучжоу,КНР,Индустрия компьютерных игр,2,2000,3960,snail.com
301,Soedesco,Роттердам,Роттердам,Индустрия компьютерных игр,2,2002,1184,soedesco.com
302,Sonic Team,Япония,Синагава,Индустрия компьютерных игр,3,1990,3231,Официальный сайт
303,Sony Interactive Entertainment,США,Сан-Матео,Индустрия компьютерных игр,3,1968,1119,sie.com
304,Spark Unlimited,"Калифорния,США",Калифорния,Индустрия компьютерных игр,2,2002,1076,Spark Unlimited
305,Spellbound Entertainment,Германия,Кель,Индустрия компьютерных игр,2,1994,1029,Spellbound
306,Spicy Horse,Китай,Чжабэй,Индустрия компьютерных игр,2,2007,3649,spicyhorse.com
307,Spiders,США,Вашингтон,Индустрия компьютерных игр,2,2008,2483,spiders-games.com
308,Spiderweb Software,США,Сиэтл,Индустрия компьютерных игр,2,1994,1336,spiderwebsoftware.com​ (англ.)
309,Splash Damage,Великобритания,Лондон,Индустрия компьютерных игр,4,2001,1567,www.splashdamage.com
310,Sports Interactive,Лондон,Излингтон,Индустрия компьютерных игр,3,1997,4432,Официальный сайт
311,Squad,Мехико,Мехико,Разработка программного обеспечения,2,2009,4291,squad.com.mx
312,Square,Япония,Токио,Разработка программного обеспечения,1,1966,3443,square.co.jp
313,Square Enix,Япония,Синдзюку,Разработка программного обеспечения,1,2006,3577,www.square-enix.com
314,Starbreeze Studios,Швеция,Стокгольм,Индустрия компьютерных игр,2,1998,2550,www.starbreeze.com
315,Stardock,Швеция,Стокгольм,Разработка программного обеспечения,7,1980,2937,stardock.com
316,Sting Entertainment,Япония,Тайто,Индустрия компьютерных игр,2,1996,3447,Официальный сайт
317,StormRegion,Венгрия,Будапешт,Индустрия компьютерных игр,2,1997,2903,stormregion.com
318,Straight Right,Австралия,Мельбурн,Индустрия компьютерных игр,2,2011,606,straightright.net
319,Strategic Simulations,США,США,Индустрия компьютерных игр,2,1979,470,strategic.com
320,Sucker Punch Productions,США,Белвью,Индустрия компьютерных игр,3,1997,1251,suckerpunch.com
321,Sumo Digital,Шеффилд,Шеффилд,Индустрия компьютерных игр,2,2003,159,Официальный сайт
322,Supergiant Games,Калифорния,Сан-Хосе,Индустрия компьютерных игр,2,2009,4959,supergiantgames.com
323,Supermassive Games,Великобритания,Гилфорд,Индустрия компьютерных игр,3,2008,2055,Официальный сайт
324,Surreal Software,США,Чикаго,Индустрия компьютерных игр,1,1991,2487,Официальный сайт
325,Tag Games,Великобритания,Данди,Индустрия компьютерных игр,2,2006,1035,tag-games.com
326,Taito Corporation,Япония,Синдзюку,Индустрия компьютерных игр,3,1953,1378,taito.co.jp
327,Takumi Corporation,Япония,Синдзюку,Индустрия компьютерных игр,7,1994,4681,takumi-net.co.jp
328,Tale of Tales,США,Вашингтон,Индустрия компьютерных игр,2,2002,496,tale-of-tales.com
329,Tango Gameworks,Япония,Одайба,Индустрия компьютерных игр,3,2010,3507,tangogameworks.com
330,Tarsier Studios,Швеция,Мальмё,Индустрия компьютерных игр,3,2004,1043,www.tarsier.se
331,Team Bondi,Австралия,Сидней,Индустрия компьютерных игр,2,2003,2767,teambondi.com
332,Team Ninja,Япония,Япония,Индустрия компьютерных игр,3,1995,4976,teamninja-studio.com
333,Team17,США,Вашингтон,Индустрия компьютерных игр,1,1990,466,Официальный сайт
334,Techland,Польша,Острув-Велькопольски,Индустрия компьютерных игр,2,1991,1314,techland.net
335,Technos Japan Corporation,Япония,Токио,Индустрия компьютерных игр,2,1981,1019,technos.com
336,Technosoft,Япония,Япония,Индустрия компьютерных игр,5,1980,2430,(архивная версия 25 июня 1998 года)
337,Tecmo,Япония,Тиёда,Индустрия компьютерных игр,1,1967,2769,tecmokoei-europe.com
338,Telltale Incorporated,США,Сан-Рафел,Индустрия компьютерных игр,2,2004,3682,www.telltalegames.com
339,Tencent,Китай,Шэньчжэнь,Разработка программного обеспечения,1,1998,340,www.tencent.com
340,Terminal Reality,США,Льюисвилл,Индустрия компьютерных игр,2,2015,416,terminalreality.com
341,Thatgamecompany,США,Санта-Моника,Индустрия компьютерных игр,4,2006,3986,thatgamecompany.com​ (англ.)
342,The Bitmap Brothers,Великобритания,Уоппин[d],Индустрия компьютерных игр,8,1987,2878,bitmap-brothers.co.uk​ (англ.)
343,The Chinese Room,Брайтон,Великобритания,Индустрия компьютерных игр,2,2007,3831,thechineseroom.co.uk
344,The Coalition,Канада,Ванкувер,Индустрия компьютерных игр,3,2010,597,Официальный сайт
345,The Farm 51,Польша,Гливице,Индустрия компьютерных игр,2,2005,610,www.thefarm51.com
346,THQ,США,Агура-Хиллз,Индустрия компьютерных игр,1,1989,4511,www.THQ.com
347,THQ Nordic,Австрия,Вена,Индустрия компьютерных игр,3,2011,434,thqnordic.com
348,Three Rings Design,Калифорния,Сан-Франциско,Индустрия компьютерных игр,2,2006,3399,threerings.net
349,Tilted Mill Entertainment,США,Фреймингем,Индустрия компьютерных игр,2,2001,3605,tiltedmill.com
350,TimeGate Studios,США,Шугар-Ленд,Индустрия компьютерных игр,2,1998,3851,TimeGate.com
351,TiMi Studios,Китай,Шэньчжэнь,Индустрия компьютерных игр,3,2008,1626,timi.qq.com
352,Titan Studios,США,Сиэтл,Индустрия компьютерных игр,2,2008,3904,epicgameschina.com​ (англ.)
353,Toaplan,Япония,Япония,Индустрия компьютерных игр,2,1984,1797,toaplan.com
354,TopWare Interactive,Германия,Карлсруэ,Индустрия компьютерных игр,3,1995,1247,topware.com
355,"Tose Co., Ltd.",Япония,Киото,Индустрия компьютерных игр,2,1979,929,tose.co.jp
356,Totally Games,Калифорния,Новато,Индустрия компьютерных игр,2,1964,1431,totallygames.com
357,Toys For Bob,Новато,Америки,Индустрия компьютерных игр,3,1989,1189,toysforbob.com
358,Traveller’s Tales,Великобритания,Натсфорд,Индустрия компьютерных игр,3,1989,4938,Официальный сайт
359,Treasure,Япония,Япония,Индустрия компьютерных игр,1,1992,3505,treasure-inc.co.jp
360,Treyarch,США,Санта-Моника,Индустрия компьютерных игр,3,1976,4270,treyarch.com
361,tri-Ace,США,Вашингтон,Индустрия компьютерных игр,2,2020,556,tri-ace.com
362,Triangle Service,Япония,Токио,Индустрия компьютерных игр,2,2002,3306,triangleservice.co.jp
363,Tripwire Interactive,США,Розуэлл,Индустрия компьютерных игр,2,2005,2846,tripwireinteractive.com
364,Triumph Studios,Нидерланды,Делфт,Индустрия компьютерных игр,3,1997,4193,triumph.net
365,Troika Games,США,Ирвайн,Разработка программного обеспечения,1,1998,105,troikagames.com​ (англ.)
366,Turn 10 Studios,США,Вашингтон,Индустрия компьютерных игр,3,2001,1813,turn10studios.com​ (англ.)
367,Turtle Rock Studios,США,Лейк-Форест,Индустрия компьютерных игр,2,2002,1876,turtlerockstudios.com
368,Type-Moon,Япония,Япония,Разработка программного обеспечения,2,2000,3077,typemoon.com
369,Ubisoft,Франция,Монтрёй,Индустрия компьютерных игр,1,1986,20324,www.ubisoft.com
370,Ubisoft Blue Byte,Германия,Дюссельдорф,Индустрия компьютерных игр,3,1988,2749,bluebyte.net/
371,Ubisoft Montpellier,Франция,Монпелье,Индустрия компьютерных игр,3,1995,4282,Ubisoft Montpellier
372,Ubisoft Reflections,Великобритания,Ньюкасл-апон-Тайн,Индустрия компьютерных игр,3,1984,4379,reflections.ubisoft.com/…
373,Ubisoft Singapore,Сингапур,Сингапур,Индустрия компьютерных игр,3,2008,2958,ubi.com
374,Ultimate Play the Game,Великобритания,(рус.,Индустрия компьютерных игр,2,1982,1002,ultimate.com
375,Undead Labs,США,Сиэтл,Индустрия компьютерных игр,3,2009,2181,undeadlabs.com
376,UNIGINE,Россия,Россия,Индустрия компьютерных игр,2,2005,790,unigine.com/ru
377,United Front Games,Канада,Британская,Индустрия компьютерных игр,2,2007,4957,unitedfrontgames.com
378,Valve,США,Белвью,Индустрия компьютерных игр,2,1996,610,valvesoftware.com
379,Vanillaware,Япония,Осака,Индустрия компьютерных игр,2,2003,2998,vanillaware.co.jp
380,Vatra Games,Чехия,Брно,Индустрия компьютерных игр,4,2009,1774,vatragames.com
381,Venom Games,Великобритания,Ньюкасл-апон-Тайн,Индустрия компьютерных игр,2,2003,222,venom.com
382,Vicarious Visions,США,Нью-Йорк,Индустрия компьютерных игр,2,1990,1479,vvisions.com
383,Vigil Games,США,Остин,Индустрия компьютерных игр,3,2005,3404,vigilgames.com
384,VIS Entertainment,Шотландия,Шотландия,Индустрия компьютерных игр,2,1996,4937,vis.com
385,Visceral Games,США,Редвуд-Сити,Индустрия компьютерных игр,3,1998,290,www.visceralgames.com
386,Visual Concepts,Венгрия,Будапешт,Индустрия компьютерных игр,2,1988,2466,vcentertainment.com
387,Wargaming Chicago-Baltimore,(Мэриленд),Чикаго,Индустрия компьютерных игр,2,2001,3276,wargamingwest.com
388,Wargaming Seattle,"Вашингтон,",Редмонд,Индустрия компьютерных игр,3,1998,3334,wargaming.com/en/about/o…
389,Wargaming.net,Кипр,Никосия,Индустрия компьютерных игр,2,1998,1288,wargaming.com
390,Warhorse Studios,Чехия,Прага,Индустрия компьютерных игр,3,2011,470,warhorsestudios.cz
391,Warner Bros. Games Montreal,Канада,Монреаль,Индустрия компьютерных игр,3,2010,2608,www.wbgamesmontreal.com
392,WB Games Boston,США,Нидем,Разработка программного обеспечения,3,1994,4355,careers.wbgames.com/stud…
393,WeMade Entertainment,Корея,Сеул,Индустрия компьютерных игр,2,2000,429,wemade.com
394,Westwood Studios,США,Лас-Вегас,Индустрия компьютерных игр,3,1985,4595,Westwood Studios
395,Wideload Games,Чикаго,Чикаго,Индустрия компьютерных игр,2,2003,2237,wideload.com​ (англ.)
396,Wildfire Games,США,США,Индустрия компьютерных игр,2,2002,2344,wildfiregames.com​ (англ.)
397,Xbox Game Studios,США,Редмонд,Индустрия компьютерных игр,3,2000,3704,xbox.com/xbox-game-studios
398,XPEC Entertainment,Китай:Цзюцюань.,Китай:Цзюцюань.,Индустрия компьютерных игр,2,1964,1285,XPEC Entertainment
399,Yager Development,Германия,Берлин,Индустрия компьютерных игр,2,1999,3819,yager.de
400,Yuke’s,Япония,Осака,Индустрия компьютерных игр,5,1978,3109,yukes.co.jp/en/
401,ZeniMax Online Studios,США,Валли,Индустрия компьютерных игр,2,2007,2947,zenimaxonline.com
402,ZeptoLab,Испания,Барселона,Индустрия компьютерных игр,2,2008,4280,zeptolab.com
403,Zoetrope Interactive,Турция,Стамбул,Индустрия компьютерных игр,2,2005,3105,www.zoetrope-interactive.com
404,Zombie Studios,США,Сиэтл,Индустрия компьютерных игр,2,1994,332,zombie.com
405,Zynga,США,Сан-Франциско,Разработка программного обеспечения,3,2007,4242,www.zynga.com
406,Magnavox Odyssey,США,Вашингтон,Разработка программного обеспечения,2,2007,1110,magnavox.com
407,Coleco,США,Вашингтон,Индустрия компьютерных игр,2,1961,3996,coleco.com
408,Smith-Wood,Гвинея-Бисау,п. Смирных,Индустрия компьютерных игр,2,2017,6488,Smith-Wood.com
409,Davis LLC,Буркина-Фасо,с. Петушки,СМИ,6,2005,7739,Davis LLC.com
410,Cross-Proctor,Марокко,д. Ребриха,Бытовая электроника,7,1991,4471,Cross-Proctor.com
411,"Jones, Rhodes and Brown",Мозамбик,к. Клин,Дистрибутор сетевого и телекоммуникационного оборудования,4,2010,5718,"Jones, Rhodes and Brown.com"
412,"Ward, Gallegos and Harper",Бразилия,п. Соловки,Индустрия компьютерных игр,3,1982,1733,"Ward, Gallegos and Harper.com"
413,"French, Scott and Jackson",Венесуэла,к. Горячий Ключ,Дистрибутор сетевого и телекоммуникационного оборудования,2,1980,5664,"French, Scott and Jackson.com"
414,Mason and Sons,Доминиканская Республика,г. Егорьевск,Антивирусное программное обеспечение,8,2020,4100,Mason and Sons.com
415,"Gregory, Bullock and Gonzales",Гамбия,к. Усолье Сибирское,Информационные технологии,3,2005,5117,"Gregory, Bullock and Gonzales.com"
416,"Nelson, Hernandez and Ramirez",Черногория,к. Охотск,Разработка програмного обеспечения,6,2013,5918,"Nelson, Hernandez and Ramirez.com"
417,Gregory-Bishop,Малави,д. Муравленко,Антивирусное программное обеспечение,6,1999,7578,Gregory-Bishop.com
418,"Palmer, Weiss and Turner",Мексика,д. Улан-Удэ,Киноиндустрия,3,2017,4619,"Palmer, Weiss and Turner.com"
419,"Yang, Martinez and Martinez",Коморы,ст. Златоуст,Дистрибутор сетевого и телекоммуникационного оборудования,6,1980,8702,"Yang, Martinez and Martinez.com"
420,"Larson, Johnson and Mendez",Казахстан,к. Ревда (Сверд.),СМИ,3,1989,3519,"Larson, Johnson and Mendez.com"
421,Peterson-Bryan,Чехия,г. Мирный,Розничная торговля,8,2013,4159,Peterson-Bryan.com
422,Johnson and Sons,Боливия,с. Можайск,Киноиндустрия,9,2002,4268,Johnson and Sons.com
423,Henry LLC,Молдавия,с. Луховицы,Индустрия компьютерных игр,3,1990,3234,Henry LLC.com
424,Porter and Sons,Таджикистан,д. Белоярский,Дистрибутор сетевого и телекоммуникационного оборудования,6,1982,1158,Porter and Sons.com
425,"Hall, Garcia and Dean",Сент-Винсент и Гренадины,клх Мончегорск,Индустрия компьютерных игр,8,2016,1599,"Hall, Garcia and Dean.com"
426,"Crane, Williams and Douglas",КНДР,ст. Шумиха,Киноиндустрия,4,1992,9419,"Crane, Williams and Douglas.com"
427,"Schroeder, Thompson and Oconnell",Эсватини,п. Усть-Баргузин,Антивирусное программное обеспечение,1,1980,4086,"Schroeder, Thompson and Oconnell.com"
428,Black-Chapman,Экваториальная Гвинея,ст. Александровск-Сахалинский,Киноиндустрия,2,1995,8034,Black-Chapman.com
429,Santana-Jones,Южный Судан,п. Сибай,Бытовая электроника,8,1986,6939,Santana-Jones.com
430,"Petty, Lewis and Hooper",Афганистан,ст. Льгов,СМИ,7,1987,1977,"Petty, Lewis and Hooper.com"
431,"Fernandez, Wright and Mcbride",Словения,клх Беслан,Дистрибутор сетевого и телекоммуникационного оборудования,5,2007,4196,"Fernandez, Wright and Mcbride.com"
432,"Palmer, Valdez and Roy",Уганда,клх Усть-Кулом,Разработка програмного обеспечения,9,2001,5698,"Palmer, Valdez and Roy.com"
433,Prince Ltd,Армения,ст. Абинск,Разработка програмного обеспечения,9,2003,6548,Prince Ltd.com
434,"Carroll, Nelson and Coleman",Венгрия,д. Элиста,Бытовая электроника,5,2015,9787,"Carroll, Nelson and Coleman.com"
435,"Sherman, Pennington and Mcbride",Сент-Винсент и Гренадины,клх Туруханск,СМИ,3,1992,8923,"Sherman, Pennington and Mcbride.com"
436,Mitchell LLC,Румыния,п. Юрьев-Польский,Киноиндустрия,4,1980,2286,Mitchell LLC.com
437,Smith-Anderson,Маршалловы Острова,д. Джейрах,Массовое онлайн-образование,7,1993,4184,Smith-Anderson.com
438,Gillespie-Gomez,Великобритания,к. Сочи,Информационные технологии,7,1992,4879,Gillespie-Gomez.com
439,Myers-Bentley,Таджикистан,ст. Белореченск,Киноиндустрия,7,1994,9142,Myers-Bentley.com
440,Hall Group,Гватемала,п. Домодедово,СМИ,8,1993,4929,Hall Group.com
441,Kelly-Conley,Парагвай,с. Кажим,СМИ,7,2006,3388,Kelly-Conley.com
442,"Kidd, Williams and Davis",Мальта,клх Камышин,СМИ,5,1994,1915,"Kidd, Williams and Davis.com"
443,"Juarez, Warren and Love",Багамские Острова,д. Батайск,Массовое онлайн-образование,2,1985,4007,"Juarez, Warren and Love.com"
444,Lester-Romero,Бруней,с. Октябрьское (Челяб.),Бытовая электроника,2,1995,430,Lester-Romero.com
445,"Miller, Garcia and Lewis",Франция,п. Бугуруслан,Индустрия компьютерных игр,5,1988,8627,"Miller, Garcia and Lewis.com"
446,"Wise, Taylor and Reyes",Лесото,с. Майкоп,Бытовая электроника,5,2014,3279,"Wise, Taylor and Reyes.com"
447,Green Ltd,Намибия,к. Вытегра,Индустрия компьютерных игр,7,1981,8961,Green Ltd.com
448,"Martinez, Osborn and Moore",Мьянма,ст. Кетченеры,Бытовая электроника,8,1988,4616,"Martinez, Osborn and Moore.com"
449,Allen PLC,Маршалловы Острова,с. Якша,Дистрибутор сетевого и телекоммуникационного оборудования,6,1986,4733,Allen PLC.com
450,"Hansen, Young and Bentley",Малави,с. Астрахань,Информационные технологии,8,1997,6654,"Hansen, Young and Bentley.com"
451,Huffman Inc,Багамские Острова,г. Ноябрьск,Разработка програмного обеспечения,1,2005,5839,Huffman Inc.com
452,Bailey-Johnson,Туркмения,д. Гремячинск (Перм.),Бытовая электроника,5,1981,3879,Bailey-Johnson.com
453,"Brown, Smith and Melendez",Уганда,к. Кижи,Разработка програмного обеспечения,8,1986,1664,"Brown, Smith and Melendez.com"
454,Sanchez-Hart,Аргентина,п. Кандалакша,Дистрибутор сетевого и телекоммуникационного оборудования,2,1998,6915,Sanchez-Hart.com
455,Lopez and Sons,Пакистан,с. Муравленко,Розничная торговля,1,2022,3205,Lopez and Sons.com
456,Campbell-Williams,Румыния,д. Ялуторовск,Массовое онлайн-образование,4,2001,5220,Campbell-Williams.com
457,Smith-Lee,Япония,ст. Курск,Индустрия компьютерных игр,7,2022,6700,Smith-Lee.com
458,Proctor-Roberts,Гаити,г. Гремячинск (Бурят.),Массовое онлайн-образование,1,1992,6743,Proctor-Roberts.com
459,Rodriguez Group,Черногория,к. Енисейск,Киноиндустрия,4,2016,2239,Rodriguez Group.com
460,Sullivan LLC,Болгария,г. Малгобек,Информационные технологии,9,2022,7366,Sullivan LLC.com
461,Pittman-Cook,Австралия,к. Славгород,Информационные технологии,6,2011,5450,Pittman-Cook.com
462,Diaz-Blevins,Сан-Томе и Принсипи,к. Псков,Дистрибутор сетевого и телекоммуникационного оборудования,4,2012,3369,Diaz-Blevins.com
463,"Meza, Khan and Chapman",Ямайка,п. Ясный (Оренб.),Разработка програмного обеспечения,1,1989,2775,"Meza, Khan and Chapman.com"
464,Warren-Leach,Непал,ст. Переславль-Залесский,Дистрибутор сетевого и телекоммуникационного оборудования,8,2014,8723,Warren-Leach.com
465,"Peterson, Dunn and Green",Финляндия,ст. Архангельск,Розничная торговля,8,1997,8870,"Peterson, Dunn and Green.com"
466,Ray-Webster,Болгария,клх Рязань,Информационные технологии,6,1995,4025,Ray-Webster.com
467,Sanchez LLC,Палау,г. Териберка,Информационные технологии,4,2018,1224,Sanchez LLC.com
468,"Hardy, Bennett and Barnett",Соломоновы Острова,д. Нефтегорск (Самар.),Информационные технологии,8,2016,6869,"Hardy, Bennett and Barnett.com"
469,Morgan and Sons,Либерия,п. Черемхово,СМИ,4,2002,848,Morgan and Sons.com
470,Howell-James,Кипр,п. Каменск-Уральский,Разработка програмного обеспечения,2,2020,2760,Howell-James.com
471,"Galvan, Smith and Haynes",Федеративные Штаты Микронезии,д. Чита,Дистрибутор сетевого и телекоммуникационного оборудования,5,2016,5678,"Galvan, Smith and Haynes.com"
472,Wright Group,Лесото,клх Курганинск,Массовое онлайн-образование,8,2013,5751,Wright Group.com
473,Rangel-Rosales,ОАЭ,д. Углич,Антивирусное программное обеспечение,4,2021,6346,Rangel-Rosales.com
474,"Pham, Gomez and Banks",Сомали,п. Куртамыш,СМИ,7,1981,8340,"Pham, Gomez and Banks.com"
475,Oneill-Fox,Сирия,д. Адлер,Массовое онлайн-образование,6,2007,8265,Oneill-Fox.com
476,"Oliver, Watson and Andrade",Гамбия,г. Агинское (Забайк.),Разработка програмного обеспечения,2,1981,4403,"Oliver, Watson and Andrade.com"
477,Parker-Reilly,Гватемала,клх Старая Русса,Антивирусное программное обеспечение,6,1985,2375,Parker-Reilly.com
478,Garcia-Woods,Иордания,ст. Зеленоград,Массовое онлайн-образование,1,1984,8853,Garcia-Woods.com
479,Peck Group,Антигуа и Барбуда,п. Златоуст,Массовое онлайн-образование,3,2015,5268,Peck Group.com
480,Turner-Murray,Тувалу,клх Гаврилов-Ям,Информационные технологии,4,2019,2610,Turner-Murray.com
481,Bennett and Sons,Узбекистан,г. Урус-Мартан,Индустрия компьютерных игр,8,1984,5564,Bennett and Sons.com
482,"Williams, George and White",Кувейт,ст. Новомичуринск,Информационные технологии,9,2006,4684,"Williams, George and White.com"
483,Monroe-Bush,Сент-Китс и Невис,с. Лазаревское,Информационные технологии,1,1981,8641,Monroe-Bush.com
484,Pope-Wallace,Ливан,с. Кириши,СМИ,1,2004,5316,Pope-Wallace.com
485,Roth and Sons,Кения,клх Урай,Индустрия компьютерных игр,2,2002,1449,Roth and Sons.com
486,"Schmidt, Spence and West",Бельгия,к. Териберка,Дистрибутор сетевого и телекоммуникационного оборудования,7,2017,6212,"Schmidt, Spence and West.com"
487,Thompson PLC,Исландия,клх Таштагол,Антивирусное программное обеспечение,6,1982,5146,Thompson PLC.com
488,"Patrick, Neal and Mcintyre",Бахрейн,ст. Ербогачен,Информационные технологии,8,2022,4928,"Patrick, Neal and Mcintyre.com"
489,Hunter-Lopez,Либерия,с. Внуково (метеост.),Розничная торговля,1,1997,5367,Hunter-Lopez.com
490,Davila Ltd,Гаити,клх Апрелевка,Дистрибутор сетевого и телекоммуникационного оборудования,7,2020,8104,Davila Ltd.com
491,Chandler-Williams,Панама,д. Агата,Индустрия компьютерных игр,2,1997,7299,Chandler-Williams.com
492,Reed Inc,Фиджи,ст. Мценск,Киноиндустрия,2,2022,9039,Reed Inc.com
493,Potter Inc,Великобритания,п. Якутск,Разработка програмного обеспечения,1,1990,1710,Potter Inc.com
494,"Alexander, Navarro and Rose",Самоа,д. Двинской,Разработка програмного обеспечения,8,1982,1567,"Alexander, Navarro and Rose.com"
495,Moore Ltd,Монголия,к. Морозовск,Массовое онлайн-образование,9,1985,2943,Moore Ltd.com
496,Jones Group,Коморы,к. Калачинск,Дистрибутор сетевого и телекоммуникационного оборудования,1,2017,5487,Jones Group.com
497,"Cochran, Mcgee and Jensen",Гренада,п. Иркутск,Массовое онлайн-образование,8,2008,1812,"Cochran, Mcgee and Jensen.com"
498,"Perez, Bray and Johnson",Монако,г. Устюжна,Бытовая электроника,1,2020,3537,"Perez, Bray and Johnson.com"
499,Torres LLC,Гондурас,с. Поярково,Индустрия компьютерных игр,5,1981,265,Torres LLC.com
500,Yoder-Clark,Вьетнам,к. Кунгур,Дистрибутор сетевого и телекоммуникационного оборудования,4,1991,4528,Yoder-Clark.com
501,Hill-Davidson,Польша,с. Старый Оскол,Индустрия компьютерных игр,9,2013,4747,Hill-Davidson.com
502,"White, Chavez and Hall",Словакия,д. Соль-Илецк,Массовое онлайн-образование,2,2008,2346,"White, Chavez and Hall.com"
503,Rodgers-Green,Бурунди,к. Кудымкар,Бытовая электроника,8,1982,5469,Rodgers-Green.com
504,"Hill, Lee and Sloan",Перу,п. Красноярск,Индустрия компьютерных игр,4,1992,1778,"Hill, Lee and Sloan.com"
505,Allen-Villanueva,Кот-д’Ивуар,г. Сургут (Хант.),Индустрия компьютерных игр,8,2013,8625,Allen-Villanueva.com
506,"Blair, Haynes and Howard",Кот-д’Ивуар,к. Адлер,Разработка програмного обеспечения,9,1998,9685,"Blair, Haynes and Howard.com"
507,Rosales LLC,Аргентина,д. Саранск,Информационные технологии,5,2021,3070,Rosales LLC.com
508,Roberts Group,Тринидад и Тобаго,ст. Брянск,СМИ,3,2005,7567,Roberts Group.com
509,"Miller, Larson and Black",Кабо-Верде,к. Черкесск,СМИ,9,1987,4282,"Miller, Larson and Black.com"
510,"Conley, Jacobson and Turner",Лаос,д. Богучар,Разработка програмного обеспечения,2,2007,6769,"Conley, Jacobson and Turner.com"
511,"Moody, Vasquez and Flores",Танзания,г. Вытегра,Антивирусное программное обеспечение,4,2019,8501,"Moody, Vasquez and Flores.com"
512,Keith-Tucker,Республика Конго,д. Томари,Антивирусное программное обеспечение,1,2019,4532,Keith-Tucker.com
513,Duran-Obrien,Парагвай,ст. Саранск,Розничная торговля,3,2021,2935,Duran-Obrien.com
514,"Francis, Ortega and Guzman",Испания,с. Тосно,Индустрия компьютерных игр,9,2010,8962,"Francis, Ortega and Guzman.com"
515,"Mckee, Young and Green",Парагвай,д. Нефтеюганск,Информационные технологии,2,1991,4953,"Mckee, Young and Green.com"
516,Taylor-Sampson,Литва,г. Оленегорск (Якут.),СМИ,9,2004,4395,Taylor-Sampson.com
517,"Adams, Powell and Davis",Центральноафриканская Республика,к. Лодейное Поле,Разработка програмного обеспечения,5,2020,1355,"Adams, Powell and Davis.com"
518,Ballard-Patterson,Гондурас,с. Стерлитамак,Антивирусное программное обеспечение,8,2018,3711,Ballard-Patterson.com
519,"Quinn, Little and Hill",Джибути,с. Джейрах,Массовое онлайн-образование,2,2022,3250,"Quinn, Little and Hill.com"
520,Hunt-Douglas,Великобритания,к. Черкесск,Индустрия компьютерных игр,3,1987,7163,Hunt-Douglas.com
521,Hall-Ward,Польша,к. Кострома,Индустрия компьютерных игр,3,2021,4521,Hall-Ward.com
522,"Leonard, Anderson and Todd",Ирландия,клх Мичуринск,Дистрибутор сетевого и телекоммуникационного оборудования,5,1984,2260,"Leonard, Anderson and Todd.com"
523,Blevins-Dyer,Вануату,г. Вендинга,Антивирусное программное обеспечение,6,1998,4542,Blevins-Dyer.com
524,"Lopez, Armstrong and Welch",Самоа,г. Балашиха,СМИ,1,1985,3864,"Lopez, Armstrong and Welch.com"
525,Hendricks LLC,Тунис,д. Партизанск,Индустрия компьютерных игр,7,2020,8617,Hendricks LLC.com
526,"Shields, Hopkins and Barker",Сент-Винсент и Гренадины,к. Тырныауз,СМИ,3,1998,7319,"Shields, Hopkins and Barker.com"
